Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 5,Rolpa,51,0,0,0
2020-07-08,Province 5,Rolpa,51,0,0,0
2020-07-09,Province 5,Rolpa,51,0,0,0
2020-07-10,Province 5,Rolpa,51,0,0,0
2020-07-11,Province 5,Rolpa,51,0,0,0
2020-07-12,Province 5,Rolpa,51,0,0,0
2020-07-13,Province 5,Rolpa,51,0,0,0
2020-07-14,Province 5,Rolpa,54,0,0,0
2020-07-15,Province 5,Rolpa,54,0,0,0
2020-07-16,Province 5,Rolpa,54,0,0,0
2020-07-17,Province 5,Rolpa,67,0,0,0
2020-07-18,Province 5,Rolpa,67,0,0,0
2020-07-19,Province 5,Rolpa,67,0,0,0
2020-07-20,Province 5,Rolpa,71,0,0,0
2020-07-21,Province 5,Rolpa,71,0,0,0
2020-07-22,Province 5,Rolpa,71,0,0,0
2020-07-23,Province 5,Rolpa,71,0,0,0
2020-07-24,Province 5,Rolpa,71,0,0,0
2020-07-25,Province 5,Rolpa,71,0,0,0
2020-07-26,Province 5,Rolpa,74,0,0,0
2020-07-27,Province 5,Rolpa,74,0,0,0
2020-07-28,Province 5,Rolpa,74,0,0,0
2020-07-29,Province 5,Rolpa,74,0,0,0
2020-07-30,Province 5,Rolpa,74,0,0,0
2020-07-31,Province 5,Rolpa,74,0,0,0
2020-08-01,Province 5,Rolpa,74,0,0,0
2020-08-02,Province 5,Rolpa,74,0,0,0
2020-08-03,Province 5,Rolpa,73,0,51,0
2020-08-04,Province 5,Rolpa,73,0,51,0
2020-08-05,Province 5,Rolpa,73,0,51,0
2020-08-06,Province 5,Rolpa,73,0,51,0
2020-08-07,Province 5,Rolpa,73,0,51,0
2020-08-08,Province 5,Rolpa,73,0,51,0
2020-08-09,Province 5,Rolpa,73,0,51,0
2020-08-10,Province 5,Rolpa,74,0,51,0
2020-08-11,Province 5,Rolpa,75,0,51,0
2020-08-12,Province 5,Rolpa,75,0,51,0
2020-08-13,Province 5,Rolpa,75,0,51,0
2020-08-14,Province 5,Rolpa,75,0,51,0
2020-08-15,Province 5,Rolpa,75,0,51,0
2020-08-16,Province 5,Rolpa,77,0,51,0
2020-08-17,Province 5,Rolpa,77,0,51,0
2020-08-18,Province 5,Rolpa,78,0,51,0
