Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 5,Banke,377,2,361,0
2020-07-08,Province 5,Banke,379,2,361,0
2020-07-09,Province 5,Banke,381,2,361,0
2020-07-10,Province 5,Banke,382,2,361,0
2020-07-11,Province 5,Banke,384,2,361,0
2020-07-12,Province 5,Banke,384,2,361,0
2020-07-13,Province 5,Banke,385,2,361,0
2020-07-14,Province 5,Banke,386,2,361,0
2020-07-15,Province 5,Banke,386,2,361,0
2020-07-16,Province 5,Banke,394,2,361,0
2020-07-17,Province 5,Banke,394,2,361,0
2020-07-18,Province 5,Banke,394,2,361,0
2020-07-19,Province 5,Banke,399,2,361,0
2020-07-20,Province 5,Banke,401,2,361,0
2020-07-21,Province 5,Banke,404,2,361,0
2020-07-22,Province 5,Banke,407,2,361,0
2020-07-23,Province 5,Banke,407,2,361,0
2020-07-24,Province 5,Banke,409,2,361,0
